代碼,名稱,產業,市場,題材(L2),tech,supply
2640,大車隊,數位雲端,TPEX,"客運, 汽車服務相關, 運輸事業",,
2641,正德,航運業,TPEX,"散裝航運, 運輸事業","航運, 散裝航運",
2642,宅配通,航運業,TWSE,"物流業, 運輸事業, 陸運",光通訊,
2643,捷迅,航運業,TPEX,"海空運承攬業, 運輸事業, 陸運",空運,
2645,長榮航太,航運業,TWSE,"航天機械零組件, 航天軍工, 運輸事業, 飛機維修",,
2646,星宇航空,航運業,TWSE,"空運, 運輸事業",空運,
2701,萬企,觀光餐旅,TWSE,"休閒娛樂, 地產, 物業投資發展, 電影院／劇院",不動產,
2702,華園,觀光餐旅,TWSE,"旅宿／餐飲, 飯店","餐飲, 飯店",
2704,國賓,觀光餐旅,TWSE,"旅宿／餐飲, 飯店, 餐飲",,NVIDIA供應鏈
2705,六福,觀光餐旅,TWSE,"主題樂園, 休閒娛樂, 旅宿／餐飲, 資產股, 飯店","餐飲, 飯店",
2706,第一店,觀光餐旅,TWSE,"地產, 旅宿／餐飲, 物業投資發展, 飯店","餐飲, 飯店",
2707,晶華,觀光餐旅,TWSE,"旅宿／餐飲, 飯店","餐飲, 飯店",
2712,遠雄來,觀光餐旅,TWSE,"旅宿／餐飲, 飯店","餐飲, 飯店",
2718,全心投控,建材營造業,TPEX,"地產, 控股公司, 營建",營建,
2719,燦星旅,觀光餐旅,TPEX,"休閒娛樂, 旅行社",,
2722,夏都,觀光餐旅,TWSE,"旅宿／餐飲, 飯店","餐飲, 飯店",
2723,美食-KY,觀光餐旅,TWSE,"休閒食品零售, 旅宿／餐飲, 穀類烘焙製品, 食品加工, 餐飲","食品, 餐飲, 烘焙",
2724,藝舍-KY,其他業,TPEX,"地產, 房屋代銷",不動產,
2726,雅茗-KY,觀光餐旅,TPEX,"旅宿／餐飲, 連鎖飲料, 餐飲",餐飲,
2727,王品,觀光餐旅,TWSE,"旅宿／餐飲, 餐飲",餐飲,
2729,瓦城,觀光餐旅,TPEX,"旅宿／餐飲, 餐飲",餐飲,
2731,雄獅,觀光餐旅,TWSE,"休閒娛樂, 旅行社",,
2732,六角,觀光餐旅,TPEX,"旅宿／餐飲, 連鎖飲料, 餐飲",餐飲,
2734,易飛網,觀光餐旅,TPEX,"INTERNET應用與服務, 休閒娛樂, 旅行社, 電商平台",電商,
2736,富野,觀光餐旅,TPEX,"旅宿／餐飲, 飯店","餐飲, 飯店",
2739,寒舍,觀光餐旅,TWSE,"旅宿／餐飲, 飯店","餐飲, 飯店",
2740,華軒,觀光餐旅,TPEX,"旅宿／餐飲, 餐飲",餐飲,
2743,山富,觀光餐旅,TPEX,"休閒娛樂, 旅行社",風電,
2745,五福,觀光餐旅,TPEX,"休閒娛樂, 旅行社",,
2748,雲品,觀光餐旅,TWSE,"婚宴顧問, 旅宿／餐飲, 服務業, 飯店","餐飲, 飯店",
2751,王座,觀光餐旅,TPEX,"旅宿／餐飲, 餐飲",餐飲,
2752,豆府,觀光餐旅,TPEX,"旅宿／餐飲, 餐飲",餐飲,
2753,八方雲集,觀光餐旅,TWSE,"旅宿／餐飲, 餐飲",餐飲,
2754,亞洲藏壽司,觀光餐旅,TPEX,"旅宿／餐飲, 餐飲",餐飲,
2755,揚秦,觀光餐旅,TPEX,"旅宿／餐飲, 餐飲",餐飲,
2756,聯發國際,觀光餐旅,TPEX,"旅宿／餐飲, 連鎖飲料, 餐飲",餐飲,
2762,世界健身-KY,運動休閒,TWSE,"休閒娛樂, 連鎖健身房",健身,
2801,彰銀,金融保險業,TWSE,"金融業, 銀行",銀行,
2812,台中銀,金融保險業,TWSE,"金融業, 銀行",銀行,
2816,旺旺保,金融保險業,TWSE,"產險, 金融業",產險,
2820,華票,金融保險業,TWSE,"票券, 金融其他, 金融業",,
2832,台產,金融保險業,TWSE,"產險, 金融業",產險,
2834,臺企銀,金融保險業,TWSE,"金融業, 銀行",銀行,
2836,高雄銀,金融保險業,TWSE,"金融業, 銀行",銀行,
2838,聯邦銀,金融保險業,TWSE,"金融業, 銀行",銀行,
2845,遠東銀,金融保險業,TWSE,"金融業, 銀行",銀行,
2849,安泰銀,金融保險業,TWSE,"金融業, 銀行",銀行,
2850,新產,金融保險業,TWSE,"產險, 金融業",,NVIDIA供應鏈
2851,中再保,金融保險業,TWSE,"再保險, 壽險, 產險, 金融業","壽險, 產險",
2852,第一保,金融保險業,TWSE,"再保險, 產險, 金融業",產險,
2855,統一證,金融保險業,TWSE,"證券, 金融業",證券,
2867,三商壽,金融保險業,TWSE,"壽險, 金融業",壽險,
2880,華南金,金融保險業,TWSE,"投信, 產險, 證券, 資產管理, 金控, 金融其他, 金融業, 銀行","產險, 證券, 金控, 銀行",
2881,富邦金,金融保險業,TWSE,"壽險, 投信, 投資信託, 產險, 證券, 資產管理, 金控, 金融其他, 金融業, 銀行","壽險, 產險, 證券, 金控, 銀行",
2882,國泰金,金融保險業,TWSE,"壽險, 投信, 投資信託, 產險, 證券, 資產管理, 金控, 金融其他, 金融業, 銀行","壽險, 產險, 證券, 金控, 銀行",
2883,凱基金,金融保險業,TWSE,"證券, 金控, 金融業, 銀行","證券, 金控, 銀行",
2884,玉山金,金融保險業,TWSE,"保險經紀, 證券, 金控, 金融其他, 金融業, 銀行","證券, 金控, 銀行",
2885,元大金,金融保險業,TWSE,"投信, 投資信託, 證券, 證金公司, 資產管理, 金控, 金融其他, 金融業, 銀行","證券, 金控, 銀行",
2886,兆豐金,金融保險業,TWSE,"投信, 產險, 票券, 證券, 資產管理, 金控, 金融其他, 金融業, 銀行","產險, 證券, 金控, 銀行",
2887,台新新光金,金融保險業,TWSE,"保險經紀, 壽險, 投信, 證券, 資產管理, 金控, 金融其他, 金融業, 銀行","壽險, 證券, 金控, 銀行",
2889,國票金,金融保險業,TWSE,"票券, 證券, 金控, 金融其他, 金融業","證券, 金控",
2890,永豐金,金融保險業,TWSE,"投信, 租賃, 證券, 資產管理, 金控, 金融其他, 金融業, 銀行","租賃, 證券, 金控, 銀行",
2891,中信金,金融保險業,TWSE,"保全業, 保險經紀, 壽險, 投信, 投資信託, 服務業, 證券, 資產管理, 金控, 金融業, 銀行","保全, 壽險, 證券, 金控, 銀行",
2892,第一金,金融保險業,TWSE,"壽險, 投信, 證券, 資產管理, 金控, 金融其他, 金融業, 銀行","壽險, 證券, 金控, 銀行",
2897,王道銀行,金融保險業,TWSE,"金融業, 銀行",銀行,
2901,欣欣,貿易百貨業,TWSE,"地產, 流通業, 物業投資發展, 百貨業, 資產股",百貨零售,
2903,遠百,貿易百貨業,TWSE,"流通業, 百貨業, 量販店、大賣場","百貨零售, 量販零售",
2904,匯僑,其他業,TWSE,"太陽能發電, 油品儲運／分銷, 石油及天然氣, 電力",太陽能,
2905,三商,貿易百貨業,TWSE,控股公司,控股,
2906,高林,貿易百貨業,TWSE,"家居相關用品通路, 成衣, 成衣銷售／零售, 流通業, 貿易, 醫療器材通路, 醫藥流通",成衣,
2908,特力,貿易百貨業,TWSE,"家居相關用品通路, 流通業, 貿易, 量販店、大賣場",量販零售,
2910,統領,貿易百貨業,TWSE,"地產, 流通業, 營建, 百貨業","營建, 百貨零售",
2911,麗嬰房,貿易百貨業,TWSE,"傳產其他, 嬰童用品, 玩具",,
2912,統一超,貿易百貨業,TWSE,"便利商店, 流通業",,
2913,農林,貿易百貨業,TWSE,"流通業, 茶葉相關, 貿易, 資產股, 農林漁牧, 農產品種植, 食品加工",食品,
2915,潤泰全,貿易百貨業,TWSE,"成衣, 成衣銷售／零售, 控股公司, 流通業, 織布業, 貿易",GaN,
2916,滿心,居家生活,TPEX,"成衣, 成衣銷售／零售",成衣,
2923,鼎固-KY,建材營造業,TWSE,"地產, 營建, 物業投資發展",,Meta供應鏈
2924,宏太-KY,居家生活,TPEX,"傳產其他, 嬰童用品, 玩具",,
2926,誠品生活,文化創意業,TPEX,"文化創意產業, 旅宿／餐飲, 書店, 流通業, 百貨業, 餐飲","餐飲, 百貨零售",
2929,淘帝-KY,貿易百貨業,TWSE,"傳產其他, 嬰童用品",,
2937,集雅社,居家生活,TPEX,"家電, 電器銷售",家電,
2939,永邑-KY,貿易百貨業,TWSE,"家居相關用品通路, 流通業, 貿易",,
2941,米斯特,居家生活,TPEX,"INTERNET應用與服務, 成衣, 成衣銷售／零售, 電商平台","成衣, 電商",
2945,三商家購,貿易百貨業,TWSE,"流通業, 連鎖超市",,
2947,振宇五金,居家生活,TPEX,"家居相關用品通路, 流通業, 量販店、大賣場",量販零售,
2948,寶陞,居家生活,TPEX,"家居相關用品通路, 流通業",,
2949,欣新網,數位雲端,TPEX,"INTERNET技術與基礎設施, 傳播事業, 廣告, 電商服務",電商,
3002,歐格,電腦及週邊設備業,TWSE,"商用遊戲機, 被動元件, 遊戲產業, 電子零件元件, 電源供應器","AI伺服器, EV, 伺服器, 被動元件, 電源供應器",
3003,健和興,電子零組件業,TWSE,"其他電子零件, 汽機車零組件, 汽車端子, 連接器, 電子零件元件","AI伺服器, EV, 車用電子, 伺服器, 儲能, 電池, 連接器",Tesla供應鏈
3004,豐達科,鋼鐵工業,TWSE,"線材盤元, 航天軍工, 螺絲螺帽",螺絲螺帽,
3005,神基,電腦及週邊設備業,TWSE,"工業電腦, 強固電腦, 機殼, 汽機車零組件, 電子零件元件, 電腦系統業","工業電腦, 汽機車零件",
3006,晶豪科,半導體業,TWSE,"DRAM記憶體IC, FLASH記憶體IC, IC設計, 類比IC","IC設計, 記憶體, 低軌衛星, DRAM",
3008,大立光,光電業,TWSE,"光學元件, 光學鏡片／頭","CPO, 光學鏡頭, 矽光子, 光通訊",Apple供應鏈
3010,華立,電子通路業,TWSE,"半導體材料通路商, 電子元件代理商, 電子通路",電子通路,
3011,今皓,電子零組件業,TWSE,"連接線材, 電子零件元件","車用電子, 連接器",
3013,晟銘電,電腦及週邊設備業,TWSE,"伺服器機殼, 電子零件元件","AI伺服器, 伺服器","Meta供應鏈, 博通供應鏈"
3014,聯陽,半導體業,TWSE,"IC設計, IO控制IC, PC週邊IC, 安全監控IC, 影音IC, 數位電視IC, 消費性IC, 觸控IC, 高速傳輸介面IC","ADAS, IC設計, DRAM, 記憶體, 車用電子",
3015,全漢,電子零組件業,TWSE,"電子零件元件, 電源供應器","AI伺服器, EV, 伺服器, 散熱, 電源供應器, 儲能, 電池",
3016,嘉晶,半導體業,TWSE,"IC製造, 矽晶圓, 磊晶",,
3017,奇鋐,電腦及週邊設備業,TWSE,"伺服器機殼, 伺服器用散熱模組, 其他散熱零件, 散熱模組, 散熱風扇馬達, 機殼, 筆記型電腦用散熱模組, 電子零件元件","AI伺服器, 伺服器, 散熱, 液冷散熱",Meta供應鏈
3018,隆銘綠能,其他電子業,TWSE,"地產, 廠務工程, 營建, 電子其他","廠務工程, 營建",
3019,亞光,光電業,TWSE,"傳產其他, 光學, 光學元件, 光學鏡片／頭, 影像感測元件, 數位相機, 數位相機組裝","光學鏡頭, 矽光子, 車用電子",Tesla供應鏈
3021,鴻名,電子零組件業,TWSE,"系統整合, 軟體業, 連接線材, 電子零件元件","系統整合, 軟體, 線材",
3022,威強電,電腦及週邊設備業,TWSE,工業電腦,記憶體,
3023,信邦,電子零組件業,TWSE,"連接器, 連接線材, 電子零件元件","車用電子, 連接器",
3024,憶聲,光電業,TWSE,"園區開發, 地產, 家電, 資產股, 車用電子, 車載影音系統, 電器銷售",車用電子,
3025,星通,通信網路業,TWSE,"光纖設備, 光通訊, 網通設備, 電信設備","光通訊, CPO, 光纖",
3026,禾伸堂,電子零組件業,TWSE,"IC零組件通路商, MLCC, 被動元件, 鋁質電解電容, 電子元件代理商, 電子通路","MLCC, EV, 被動元件, AI伺服器, 伺服器",
3027,盛達,通信網路業,TWSE,"PV INVERTER, 太陽能, 太陽能發電, 太陽能系統運用, 接取設備, 網通設備, 重電設備, 電力, 電力設備","太陽能, 電池, 風電, 儲能",
3028,增你強,電子通路業,TWSE,"IC零組件通路商, 電子元件代理商, 電子通路","AI伺服器, 伺服器, 記憶體, IC設計",
3029,零壹,資訊服務業,TWSE,"INTERNET技術與基礎設施, 系統整合, 資訊安全, 軟體業, 軟體通路／代理, 雲端科技","系統整合, 軟體, 雲端服務",
3030,德律,其他電子業,TWSE,"PCB相關設備, 設備儀器商","AI伺服器, 先進封裝, 伺服器, PCB",NVIDIA供應鏈
3031,佰鴻,光電業,TWSE,"LED, LED封裝, LED照明產品","Micro LED, 車用電子, LED",
3032,偉訓,電子零組件業,TWSE,"伺服器機殼, 機殼, 週邊產品, 電子零件元件, 電源供應器, 電競週邊","AI伺服器, 伺服器, 電源供應器",
3033,威健,電子通路業,TWSE,"IC零組件通路商, 電子通路",伺服器,
3034,聯詠,半導體業,TWSE,"CMOS晶片, IC設計, LCD控制IC, LCD驅動IC, 安全監控IC, 影音IC, 手機零組件, 手機面板驅動IC, 數位電視IC, 觸控IC","IC設計, 面板",Apple供應鏈
3035,智原,半導體業,TWSE,"ASIC, IC設計, 設計IP",IC設計,Intel供應鏈
3036,文曄,電子通路業,TWSE,"IC零組件通路商, 電子通路","AI伺服器, ADAS, 車用電子, 伺服器, 資料中心, 記憶體, 先進封裝",
3037,欣興,電子零組件業,TWSE,"ABF載板, BGA基板, IC基板, 印刷電路板, 印刷電路板相關, 封測服務與材料","IC載板, 低軌衛星, PCB, ABF載板, 封測",
3038,全台,光電業,TWSE,"LCM, 中小尺吋面板, 觸控面板, 面板業",面板,
3040,遠見,其他業,TWSE,"地產, 消費性電子產品, 物業投資發展",記憶體,
3041,揚智,半導體業,TWSE,"IC設計, 影音IC, 機上盒晶片, 消費性IC",IC設計,
3042,晶技,電子零組件業,TWSE,"振盪器, 石英元件, 被動元件","車用電子, 被動元件, 石英振盪器, 低軌衛星",Apple供應鏈
3043,科風,其他電子業,TWSE,"UPS, 電子零件元件",UPS不斷電,
3044,健鼎,電子零組件業,TWSE,"印刷電路板, 印刷電路板相關","ABF載板, AI伺服器, EV, 伺服器, PCB",
3045,台灣大,通信網路業,TWSE,"INTERNET應用與服務, 低軌道衛星, 無店舖販售, 網通設備, 行動通訊, 通訊服務, 電信／數據服務, 電商平台, 電視購物",低軌衛星,Apple供應鏈
3046,建��,電腦及週邊設備業,TWSE,"工業電腦, 數位看板, 顯示器",工業電腦,
3047,訊舟,通信網路業,TWSE,"區域網路, 無線網路設備系統(WLAN), 網通設備",AN丙烯腈,
3048,益登,電子通路業,TWSE,"IC零組件通路商, 電子通路",,Apple供應鏈
3049,精金,光電業,TWSE,"觸控面板, 面板業","先進封裝, 封測, 面板",
3050,鈺德,光電業,TWSE,"休閒娛樂, 光碟片, 太陽能, 太陽能系統運用, 旅宿／餐飲, 碟片預錄, 餐飲","儲能, 太陽能",
3051,力特,光電業,TWSE,"偏光板, 面板零組件","車用電子, 面板",
3052,夆典,建材營造業,TWSE,"地產, 水電消防工程, 營建, 營造工程",營建,
3054,立萬利,食品工業,TWSE,"DRAM, IC製造, 生物科技, 非揮發性記憶體, 食品生技","DRAM, 記憶體",
3055,蔚華科,電子通路業,TWSE,"半導體製程設備, 封測用設備, 設備儀器商","先進封裝, 面板, 封測",
3056,富華新,建材營造業,TWSE,"地產, 控股公司, 營建",營建,
3057,喬鼎,電腦及週邊設備業,TWSE,"磁碟陣列控制器, 週邊產品",資料中心,
3058,立德,電子零組件業,TWSE,"變壓器, 電子零件元件, 電源供應器","AI伺服器, EV, 伺服器, 電源供應器, 散熱, 儲能",
3059,華晶科,光電業,TWSE,"IC設計, 光學元件, 光學鏡片／頭, 安全監控, 工業電腦, 影像感測元件, 影音IC, 手機鏡頭模組, 手機零組件, 數位相機, 數位相機組裝, 診斷與監測用醫材, 車用電子","ADAS, 車用電子, 記憶體, 光學鏡頭, IC設計",
3060,銘異,電腦及週邊設備業,TWSE,"硬碟相關, 週邊產品","散熱, 記憶體",
3062,建漢,通信網路業,TWSE,"消費性電子產品, 無線網路設備系統(WLAN), 網通設備, 視訊轉換相關","光通訊, CPO, 低軌衛星",
3064,泰偉,文化創意業,TPEX,"PC遊戲, 博奕機台, 工業電腦, 遊戲產業",遊戲,
3066,李洲,光電業,TPEX,"LED, LED封裝","Micro LED, 車用電子, LED",
3067,全域,其他電子業,TPEX,"水資源, 水資源設備／耗材, 電子零件元件, 音響設備及零件",,
3071,協禧,電腦及週邊設備業,TPEX,"散熱模組, 散熱風扇馬達, 筆記型電腦用散熱模組","AI伺服器, 伺服器, 散熱, 液冷散熱",
3073,天方能源,綠能環保,TPEX,"太陽能發電, 電力, 風力發電","光通訊, 記憶體, 風電, 太陽能",
3078,僑威,電子零組件業,TPEX,"電子零件元件, 電源供應器","AI伺服器, EV, 伺服器, 散熱, 電源供應器",
3081,聯亞,通信網路業,TPEX,"IC製造, 光通訊元件磊晶, 砷化鎵相關","矽光子, 光通訊, CPO, AI伺服器, 伺服器, TPU, InP, PA功率放大器, 800G, 1.6T, GaAs",Google供應鏈
3083,網龍,文化創意業,TPEX,"PC遊戲, 手機遊戲, 遊戲產業",遊戲,
3085,新零售,數位雲端,TPEX,"INTERNET應用與服務, 物流業, 運輸事業, 電商平台","物流, 電商",
3086,華義,文化創意業,TPEX,"PC遊戲, 手機遊戲, 文化創意產業, 遊戲產業",遊戲,
3088,艾訊,電腦及週邊設備業,TPEX,工業電腦,"HBM, 光學鏡頭",
3090,日電貿,電子零組件業,TWSE,"MLCC, 被動元件, 鋁質電解電容, 電子元件代理商, 電子通路, 電容","MLCC, EV, 被動元件, AI伺服器, 伺服器",
3092,鴻碩,電子零組件業,TWSE,"連接線材, 電子零件元件",車用電子,
3093,港建*,其他電子業,TPEX,"PCB相關設備, 封測用設備, 設備儀器商","AI伺服器, 伺服器, 矽光子, PCB, 封測",
3094,聯傑,半導體業,TWSE,"IC設計, 網路通訊IC","IC設計, 射頻",Apple供應鏈
3095,及成,通信網路業,TPEX,"模具沖壓, 電子零件元件",散熱,
3105,穩懋,半導體業,TPEX,"IC製造, 化合物晶圓, 砷化鎵相關","矽光子, 光通訊, 低軌衛星, PA功率放大器, GaAs, 800G, 1.6T",
3114,好德,電子零組件業,TPEX,"連接器, 連接線材, 電子元件代理商, 電子通路, 電子零件元件",連接器,
3115,富榮綱,電子零組件業,TPEX,"銅, 鋁, 非鐵金屬","矽光子, AI伺服器, 伺服器, PCB",
3117,年程,電子零組件業,ESB,電子零組件業,被動元件,
3118,進階,生技醫療業,TPEX,"IVD檢驗儀器設備, 檢驗試劑／紙, 生技服務, 生物科技, 體外診斷用醫材",醫材,
3122,笙泉,半導體業,TPEX,"IC設計, MCU","IC設計, 散熱",
3128,昇銳,光電業,TPEX,"倒車影像系統, 安全監控, 工業電腦, 車用電子","低軌衛星, 車用電子",
3130,一零四,數位雲端,TWSE,"INTERNET應用與服務, 人力資源, 人力資源網站, 服務業",人力資源,
3131,弘塑,其他電子業,TPEX,"半導體化學品, 半導體製程設備, 封測用設備, 設備儀器商","先進封裝, 封測",
3135,凌航,半導體業,TWSE,"DRAM模組, FLASH模組, 記憶體模組, 電子零件元件","DDR5, DRAM, 記憶體",
3138,耀登,通信網路業,TWSE,"天線, 網通設備, 設備儀器商, 量測儀器","光通訊, CPO, 低軌衛星, PCB, 射頻",
3141,晶宏,半導體業,TPEX,"IC設計, LCD驅動IC, 觸控IC, 馬達IC","OLED, IC設計, 面板, LED",
3147,大綜,資訊服務業,TPEX,"系統整合, 軟體業, 電子通路, 電腦通路商","AI伺服器, 伺服器",
3149,正達,光電業,TWSE,"建材, 汽車內裝, 玻璃, 玻璃基板加工, 車用玻璃, 面板零組件","面板, CoWoS, 車用電子",
3150,鈺寶-創,半導體業,TWSE,"IC設計, 影音IC, 無線網路IC","記憶體, IC設計",
3152,璟德,通信網路業,TPEX,"網通設備, 通訊設備零組件","低軌衛星, 被動元件, 車用電子",
3158,嘉實,資訊服務業,TPEX,"應用軟體, 系統整合, 軟體業","軟體, 系統整合",
3162,精確,電機機械,TPEX,汽機車零組件,"AI伺服器, 車用電子, 伺服器, 液冷散熱",
3163,波若威,通信網路業,TPEX,"光纖被動元件, 光通訊","光通訊, CPO, 矽光子, 被動元件, 光纖",
3164,景岳,生技醫療業,TWSE,"化學工業, 生物科技, 衛生清潔用品, 食品生技","清潔服務, 食品",
3167,大量,電機機械,TWSE,"PCB相關設備, 印刷電路板相關, 設備儀器商, 雷射鑽孔機、鑽頭","PCB, 先進封裝",
3168,眾福科,光電業,TWSE,"LCM, 面板業",面板,
3169,亞信,半導體業,TPEX,"IC設計, IO控制IC, 嵌入式晶片, 網路通訊IC","IC設計, 射頻",
3171,炎洲流通,居家生活,TPEX,"化學工業, 塑化製品, 塑膠加工, 膠帶",塑膠,
3176,基亞,生技醫療業,TPEX,"學名藥, 新藥研發, 檢驗試劑／紙, 生物製劑, 西藥製劑, 醫藥產業, 體外診斷用醫材",新藥研發,
3178,公準,半導體業,TPEX,"半導體製程設備, 模具, 機械零組件, 設備儀器商, 面板設備, 飛機零件／製造","CoWoS, 先進封裝, 面板",
3188,鑫龍騰,建材營造業,TPEX,"地產, 營建",營建,
3189,景碩,半導體業,TWSE,"IC基板, 封測服務與材料, 輔助與彌補用醫材, 隱形眼鏡","ABF載板, IC載板, IC設計, 封測",
3191,雲嘉南,電子零組件業,TPEX,"變壓器, 電子零件元件","AI伺服器, 伺服器, 資料中心",
3205,佰研,生技醫療業,TPEX,"保健食品, 流通業, 生物科技, 食品加工, 食品生技, 食品飲料相關通路",新藥研發,
3206,志豐,電子零組件業,TPEX,"受話器, 耳機, 電聲產品, 麥克風",,
3207,耀勝,電子零組件業,TPEX,"被動元件, 變壓器, 車用電子, 電子零件元件, 電感","車用電子, 被動元件, AI伺服器, 伺服器, 散熱",
3209,全科,電子通路業,TWSE,"IC設計, IC零組件通路商, 光通訊IC, 無線網路IC, 網路通訊IC, 電子通路, 類比IC","AI伺服器, 伺服器, 光通訊, IC設計",
3211,順達,電腦及週邊設備業,TPEX,"BBU, 消費用電池, 資產股, 電池","AI伺服器, 伺服器, 資料中心, 電池",
3213,茂訊,電腦及週邊設備業,TPEX,"強固電腦, 筆記型電腦製造, 電子通路, 電腦系統業, 電腦通路商",散熱,
3217,優群,電子零組件業,TPEX,"連接器, 電子零件元件","DDR5, AI伺服器, 伺服器, 連接器",
3218,大學光,生技醫療業,TPEX,"醫療服務, 醫療管理服務",,
3219,倚強科,其他電子業,TPEX,設備儀器商,"AI伺服器, 先進封裝, 伺服器, 5G",
3221,台嘉碩,通信網路業,TPEX,"振盪器, 濾波器, 石英元件, 被動元件","被動元件, 石英振盪器, 光通訊, AI伺服器, 伺服器, 800G, 1.6T",
3224,三顧,電子通路業,TPEX,"連接器, 電子元件代理商, 電子通路, 電子零件元件","新藥研發, 連接器",
3226,龍鋒,電機機械,TPEX,"汽機車零組件, 車燈","汽機車零件, 車燈",
3227,原相,半導體業,TPEX,"CMOS晶片, IC設計, 感測元件","ADAS, 車用電子, IC設計, 記憶體, 低軌衛星",
3228,金麗科,半導體業,TPEX,"ASIC, IC設計, MCU, 嵌入式晶片, 網路通訊IC",IC設計,
3229,晟鈦,電子零組件業,TWSE,"PCB材料, 印刷電路板, 印刷電路板相關","ABF載板, 伺服器, PCB",
3230,錦明,光電業,TPEX,"模具沖壓, 電子零件元件","AI伺服器, 伺服器",
3231,緯創,電腦及週邊設備業,TWSE,"AI伺服器, 伺服器, 筆記型電腦製造, 電子製造服務, 電腦系統業","AI伺服器, 伺服器, PCB","NVIDIA供應鏈, Meta供應鏈"
3232,昱捷,電子通路業,TPEX,"IC設計, IC零組件通路商, LCD驅動IC, 分離式元件, 電子通路",IC設計,
3234,光環,通信網路業,TPEX,"IC製造, 光纖主動元件, 光通訊, 光通訊元件磊晶","矽光子, 光通訊, CPO, AI伺服器, 伺服器, 低軌衛星, 800G, 光纖",NVIDIA供應鏈
3236,千如,電子零組件業,TPEX,"被動元件, 電感","車用電子, 被動元件, AI伺服器, 伺服器",
3252,海灣,觀光餐旅,TPEX,"旅宿／餐飲, 飯店","餐飲, 飯店",
3257,虹冠電,半導體業,TWSE,"IC設計, 二極體, 分離式元件, 電晶體, 電源管理IC","AI伺服器, 伺服器, IC設計, 低軌衛星, 記憶體, GPU",NVIDIA供應鏈
3259,鑫創,半導體業,TPEX,"FLASH記憶體IC, IC設計, MEMS, 其他IC, 影音IC, 記憶卡IC","車用電子, IC設計, 記憶體",
3260,威剛,半導體業,TPEX,"DRAM模組, FLASH模組, 硬碟相關, 記憶體模組, 週邊產品, 電子零件元件, 電競週邊","DRAM, NAND Flash, 記憶體",
3264,欣銓,半導體業,TPEX,"IC封裝測試, IC測試","CoWoS, ADAS, 車用電子, IC設計, 封測, 記憶體",
3265,台星科,半導體業,TPEX,"IC封裝, IC封裝測試, IC測試","CoWoS, 先進封裝, 封測, 記憶體, 矽光子, CPO",NVIDIA供應鏈
3266,昇陽,建材營造業,TWSE,"地產, 營建",營建,
3268,海德威,半導體業,TPEX,"IC設計, IC設計軟體, 其他IC",IC設計,
3272,東碩,電腦及週邊設備業,TPEX,週邊產品,,
3276,宇環,電子零組件業,TPEX,"印刷電路板, 印刷電路板相關","ABF載板, AI伺服器, 伺服器, PCB",
3284,太普高,其他業,TPEX,"傳產其他, 印刷業",印刷,
3285,微端,其他電子業,TPEX,"LCM, 電子零件元件, 面板業, 音響設備及零件",面板,
3287,廣寰科,電腦及週邊設備業,TPEX,"滑鼠, 耳機, 週邊產品, 鍵盤, 電競週邊, 電聲產品",電競,
3288,點晶,電子零組件業,TPEX,"IC設計, LED驅動IC, 類比IC, 馬達IC","IC設計, LED",
3289,宜特,其他電子業,TPEX,"檢測驗證服務, 設備儀器商","矽光子, CPO, ADAS, 車用電子, 記憶體",
3290,東浦,電子零組件業,TPEX,"塑膠射出, 機殼, 電子零件元件","車用電子, 伺服器",
3293,鈊象,文化創意業,TPEX,"PC遊戲, 手機遊戲, 遊戲產業",遊戲,
3294,英濟,電子零組件業,TPEX,"塑膠射出, 機殼, 電子零件元件","AI伺服器, 伺服器",Apple供應鏈
3296,勝德,電子零組件業,TWSE,"電子零件元件, 電源供應器","AI伺服器, EV, 伺服器, 電源供應器, 資料中心",
3297,杭特,光電業,TPEX,"安全監控, 工業電腦",新藥研發,
3303,岱稜,其他電子業,TPEX,電子其他,電池,
3305,昇貿,其他電子業,TWSE,"PCB材料, 印刷電路板相關, 封測服務與材料, 金、錫凸塊","低軌衛星, AI伺服器, 伺服器, PCB, 封測",
3306,鼎天,通信網路業,TPEX,"網通設備, 衛星導航","光通訊, CPO",
3308,聯德,電子零組件業,TWSE,"電子零件元件, 電源供應器","AI伺服器, EV, 伺服器, 電源供應器",
3310,佳穎,電子零組件業,TPEX,"模具沖壓, 車用沖壓件, 車用金屬成型, 電子零件元件",車用電子,
3311,閎暉,通信網路業,TWSE,"汽機車零組件, 穿戴式裝置",汽機車零件,
3312,弘憶股,電子通路業,TWSE,"IC零組件通路商, 電子通路",伺服器,
3313,斐成,其他業,TPEX,"住宅建設, 地產, 建材, 營建, 營造工程","AI伺服器, 伺服器, 被動元件",
3317,尼克森,半導體業,TPEX,"分離式元件, 電晶體","AI伺服器, SiC, 伺服器, IC設計, GaN",
3321,同泰,電子零組件業,TWSE,"印刷電路板相關, 軟板","ABF載板, AI伺服器, 伺服器, PCB, 5G, EV, 車用電子, FPC",
3322,建舜電,電子零組件業,TPEX,"連接器, 連接線材, 電子零件元件","AI伺服器, 伺服器, 連接器",
3323,加百裕,電腦及週邊設備業,TPEX,"消費用電池, 電池","散熱, 電池",
3324,雙鴻,其他電子業,TPEX,"伺服器用散熱模組, 散熱模組, 筆記型電腦用散熱模組","AI伺服器, 伺服器, 散熱, 液冷散熱",
