代碼,名稱,產業,市場,題材(L2),tech,supply
1904,正隆,造紙工業,TWSE,"家庭用紙, 工業用紙, 文化用紙, 造紙業",散熱,
1905,華紙,造紙工業,TWSE,"文化用紙, 特殊用紙, 紙漿, 造紙業","紙漿, 造紙",
1906,寶隆,造紙工業,TWSE,"工業用紙, 造紙業",造紙,
1907,永豐餘,造紙工業,TWSE,"化學工業, 家庭用紙, 工業用紙, 控股公司, 文化用紙, 紙漿, 衛生清潔用品, 造紙業","紙漿, 清潔服務, 造紙",
1909,榮成,造紙工業,TWSE,"工業用紙, 造紙業",造紙,
2002,中鋼,鋼鐵工業,TWSE,"冷軋鋼捲, 塗鍍鋼捲, 板鋼, 條鋼, 棒鋼, 熱軋鋼捲, 線材盤元, 鋼板, 鋼胚, 鍍鋅鋼捲",線材,
2006,東和鋼鐵,鋼鐵工業,TWSE,"型鋼, 條鋼, 鋼構, 鋼筋",鋼構,
2007,燁興,鋼鐵工業,TWSE,"不鏽鋼, 不鏽鋼線材, 線材盤元",不鏽鋼,
2008,高興昌,鋼鐵工業,TWSE,"條鋼, 鋼管",鋼管,
2009,第一銅,鋼鐵工業,TWSE,"銅, 非鐵金屬",,
2010,春源,鋼鐵工業,TWSE,"板鋼, 條鋼, 鋼剪裁加工, 鋼構",鋼構,
2012,春雨,鋼鐵工業,TWSE,"線材盤元, 螺絲螺帽",螺絲螺帽,
2013,中鋼構,鋼鐵工業,TWSE,"條鋼, 鋼構",鋼構,
2014,中鴻,鋼鐵工業,TWSE,"冷軋鋼捲, 板鋼, 熱軋鋼捲",,
2015,豐興,鋼鐵工業,TWSE,"型鋼, 條鋼, 棒鋼, 鋼筋",型鋼,
2017,官田鋼,鋼鐵工業,TWSE,"旅宿／餐飲, 線材盤元, 螺絲螺帽, 飯店",儲能,"NVIDIA供應鏈, AMD供應鏈"
2020,美亞,鋼鐵工業,TWSE,"不鏽鋼, 不鏽鋼剪裁加工, 板鋼, 條鋼, 鋼剪裁加工, 鋼管",不鏽鋼,
2022,聚亨,鋼鐵工業,TWSE,"線材盤元, 螺絲螺帽",螺絲螺帽,
2023,燁輝,鋼鐵工業,TWSE,"板鋼, 烤漆鋼捲, 鍍鋅鋼捲",,
2024,志聯,鋼鐵工業,TWSE,"條鋼, 棒鋼, 線材盤元",線材,
2025,千興,鋼鐵工業,TWSE,"不鏽鋼, 冷軋不鏽鋼",不鏽鋼,
2027,大成鋼,鋼鐵工業,TWSE,"不鏽鋼, 不鏽鋼品, 不鏽鋼管, 線材盤元, 螺絲螺帽, 鋁, 非鐵金屬","不鏽鋼, 螺絲螺帽",
2028,威致,鋼鐵工業,TWSE,"條鋼, 鋼筋",,
2029,盛餘,鋼鐵工業,TWSE,"板鋼, 烤漆鋼捲, 鍍鋅鋼捲",,
2030,彰源,鋼鐵工業,TWSE,"不鏽鋼, 不鏽鋼剪裁加工, 不鏽鋼管",不鏽鋼,
2031,新光鋼,鋼鐵工業,TWSE,"板鋼, 鋼剪裁加工",風電,
2032,新鋼,鋼鐵工業,TWSE,"不鏽鋼, 不鏽鋼剪裁加工",不鏽鋼,
2033,佳大,鋼鐵工業,TWSE,線材盤元,線材,
2034,允強,鋼鐵工業,TWSE,"不鏽鋼, 不鏽鋼剪裁加工, 不鏽鋼管",不鏽鋼,
2035,唐榮,鋼鐵工業,TPEX,"不鏽鋼, 冷軋不鏽鋼, 熱軋不鏽鋼, 資產股",不鏽鋼,
2038,海光,鋼鐵工業,TWSE,"條鋼, 鋼筋",,
2049,上銀,電機機械,TWSE,"機械零組件, 滑軌",先進封裝,
